Build Order,Customer Reference,Reference Designator,Quantity,Unit Price,Extended Price,Supplier,Supplier Part Number,Manufacturer,Manufacturer Part Number,Supplier Description,LINK,ALTERNATIVE LINK
1 (option),100k resistor (if using battery with thermistor),R3,1,$0.10,$0.10,Digi-Key,S100KCACT-ND,Stackpole Electronics Inc,RNMF14FTC100K,RES 100K OHM 1/4W 1% AXIAL,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNMF14FTC100K/2617434,
1 (option),120 Ohm Resistor (if using battery with thermistor AND Feather Huzzah ESP8266),R5,1,$0.10,$0.10,Digi-Key,S120CACT-ND,Stackpole Electronics Inc,RNMF14FTC120R,RES 120 OHM 1/4W 1% AXIAL,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNMF14FTC120R/2617441,
1 (option),270 Ohm Resistor (if using battery with thermistor AND Feather Huzzah ESP8266),R4,1,$0.10,$0.10,Digi-Key,S270CACT-ND,Stackpole Electronics Inc,RNMF14FTC270R,RES 270 OHM 1/4W 1% AXIAL,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNMF14FTC270R/2617478,
4 (option),Arduino Bluetooth Brain Board -- OLD,U1,1,$24.95,$24.95,Digi-Key,1528-2095-ND,Adafruit Industries LLC,3406,FEATHER NRF52 BLUEFRUIT LE - NRF,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3406/7034992,https://www.adafruit.com/product/3406
5 (future),On/Off Switch R/A (PCB design currently doesn't accomodate this part),J1,1,$1.09,$1.09,Digi-Key,563-1555-ND,Nidec Copal Electronics,MFS101D-6-Z,SWITCH SLIDE SPDT 300MA 10V,https://www.digikey.com/en/products/detail/nidec-copal-electronics/MFS101D-6-Z/5086545,
8 (alternative),1200mah Li-Ion Battery,power,1,$9.95,$9.95,Digi-Key,1528-1838-ND,Adafruit Industries LLC,258,BATTERY LITHIUM 3.7V 1.2AH,https://www.digikey.com/en/products/detail/adafruit-industries-llc/258/5054544,https://www.adafruit.com/product/258
8 (alternative),1000mah Li-Ion Battery,power,1,$9.95,$9.95,Digi-Key,1568-1492-ND,SparkFun Electronics,PRT-13813,BATTERY LITHIUM 3.7V 1AH,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-13813/6605198,https://www.sparkfun.com/products/13813
